collection_week,hospital_pk,state,ccn,hospital_name,address,city,zip,address_cleaned,fips_code,all_adult_hospital_inpatient_beds_7_day_avg,total_staffed_adult_icu_beds_7_day_avg,total_staffed_adult_med/surg_beds_7_day_avg,Coordinates,Longitude,Latitude
2021-01-15,9922a3f069ff4686fe467885206fb1172f609233cfe517f5de214545d2458253,PR,,Centro Medico Correccional de Bayamon,,,960,,,87.0,0.0,87.0,"(0, 0)",0.0,0.0
2021-01-15,976b4ce7c95e1cd394112ce7762ed040f18a141e56a52ef9d3e5775ed9e98e1e,PR,,Hospital Industrial C.F.S.E,Paseo Dr. Jose Celso Barbosa,San Juan,935,"PASEO DR. JOSE CELSO BARBOSA, SAN JUAN, PR 935",,47.4,5.0,42.4,"(0, 0)",0.0,0.0
2021-01-15,f70d7abf93c78280583ac18e896e6737cca8212b017513ffdcf3f4de52d49be4,NV,,Elite Medical Center,150 E Harmon Ave,Las Vegas,89109,"150 E HARMON AVE, LAS VEGAS, NV 89109",,5.0,0.0,5.0,"(-115.16605, 36.108036)",-115.16605,36.108036
2021-01-15,ff9032c172057190bf52f523d253c79af2d5f74d007084e83bb0995c637403d1,PR,,HealthproMed,,,775,,,4.0,0.0,4.0,"(0, 0)",0.0,0.0
2021-01-15,36db6bad3679dfdcccc301fc608438109ad907943c702fb3d57dc50cb7b5ba0b,PR,,CDT Susana Centeno,,,765,,,4.9,0.0,4.9,"(0, 0)",0.0,0.0
2021-01-15,df2363988746840134806aa7b2accf9c89259601776986d49f0c579f6d84532e,PR,,Hospital San Antonio,"#18 Norte, Calle Dr",MayagÃ¼ez,680,"#18 NORTE, CALLE DR, MAYAGÃ¼EZ, PR 680",,41.4,4.0,37.4,"(0, 0)",0.0,0.0
2021-01-15,452193,TX,452193,El Paso LTAC Hospital,,,79902,,,30.1,0.0,30.1,"(0, 0)",0.0,0.0
2021-01-15,ee04edd185865c38c839812cb2eb5ae5d3f8922e3b629ee98c7d9424a37826c4,LA,,Alexandria Emergency Hospital,5900 Coliseum Blvd,Alexandria,71303,"5900 COLISEUM BLVD, ALEXANDRIA, LA 71303",,12.0,0.0,12.0,"(0, 0)",0.0,0.0
2021-01-15,3b081d5ef1c552538e4af4aa593a857bb922a4f364a412e69f912f826ae12879,LA,,Surgery Center of Zachary,,,70791,,,0.0,0.0,0.0,"(0, 0)",0.0,0.0
2021-01-15,aab2bb3ab769da90baf57242c96ec481afb5ec6a2337848975e2451909a544a5,LA,,Crescent City Surgical Centre,,,70118,,,10.0,0.0,10.0,"(0, 0)",0.0,0.0
2021-01-15,10108,AL,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,36067,"124 S MEMORIAL DR, PRATTVILLE, AL 36067",1001.0,66.0,6.0,60.0,"(-86.45095, 32.464508)",-86.45095,32.464508
2021-01-15,10083,AL,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,36535,"1613 NORTH MCKENZIE STREET, FOLEY, AL 36535",1003.0,119.0,10.0,109.0,"(-87.68322, 30.425304)",-87.68322,30.425304
2021-01-15,10129,AL,10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,36507,"1815 HAND AVENUE, BAY MINETTE, AL 36507",1003.0,58.0,5.0,53.0,"(-87.78298, 30.9017)",-87.78298,30.9017
